Gene_ID,TR_logFC
ENSMUSG00000019817,-0.621505321
ENSMUSG00000019823,1.652531665
ENSMUSG00000019838,-0.599941602
ENSMUSG00000019854,0.437579059
ENSMUSG00000019866,1.215666191
ENSMUSG00000019872,1.423052001
ENSMUSG00000019878,0.537041006
ENSMUSG00000019907,0.475841772
ENSMUSG00000019917,0.524667806
ENSMUSG00000019923,0.535073912
ENSMUSG00000019929,1.698263667
ENSMUSG00000019933,-1.383981699
ENSMUSG00000019944,-0.480216141
ENSMUSG00000019945,1.070470099
ENSMUSG00000019961,-0.45159048
ENSMUSG00000019975,0.600848042
ENSMUSG00000020003,-0.467208985
ENSMUSG00000020009,0.5521807
ENSMUSG00000020010,1.809334281
ENSMUSG00000020021,0.868029432
ENSMUSG00000020023,0.938871888
ENSMUSG00000020032,0.520312257
ENSMUSG00000020034,1.270945059
ENSMUSG00000020038,-0.782239148
ENSMUSG00000020042,2.258172582
ENSMUSG00000020053,1.527158308
ENSMUSG00000020057,1.504001684
ENSMUSG00000020069,-0.551905958
ENSMUSG00000020085,0.667232899
ENSMUSG00000020088,-0.529252635
ENSMUSG00000020100,1.162215437
ENSMUSG00000020101,0.909230731
ENSMUSG00000020107,-0.43798814
ENSMUSG00000020115,0.431744272
ENSMUSG00000020122,0.664238749
ENSMUSG00000020131,-0.7680308
ENSMUSG00000020135,1.695699909
ENSMUSG00000020142,-0.699953402
ENSMUSG00000020149,-0.459073021
ENSMUSG00000020150,2.197850453
ENSMUSG00000020151,0.590844432
ENSMUSG00000020160,-0.497047419
ENSMUSG00000020163,-0.763301805
ENSMUSG00000020178,1.325658452
ENSMUSG00000020181,-0.909620051
ENSMUSG00000020183,-0.586255409
ENSMUSG00000020190,0.533153904
ENSMUSG00000020212,-0.571185317
ENSMUSG00000020230,0.829529725
ENSMUSG00000020235,0.68841322
ENSMUSG00000020241,1.208809845
ENSMUSG00000020248,-0.468481135
ENSMUSG00000020253,1.259392188
ENSMUSG00000020256,-1.652674097
ENSMUSG00000020260,-1.098931091
ENSMUSG00000020262,-0.478720783
ENSMUSG00000020267,-0.515899335
ENSMUSG00000020272,1.323999422
ENSMUSG00000020280,0.509255107
ENSMUSG00000020282,0.850966364
ENSMUSG00000020305,1.240101556
ENSMUSG00000020308,0.587674466
ENSMUSG00000020312,-0.414622141
ENSMUSG00000020323,1.014596481
ENSMUSG00000020329,0.518923562
ENSMUSG00000020333,0.875948433
ENSMUSG00000020334,1.773679353
ENSMUSG00000020346,0.482796931
ENSMUSG00000020363,1.184127262
ENSMUSG00000020368,-0.508827382
ENSMUSG00000020380,0.611799157
ENSMUSG00000020385,-0.705157925
ENSMUSG00000020389,-0.872510473
ENSMUSG00000020396,0.753664541
ENSMUSG00000020400,1.362749402
ENSMUSG00000020402,0.600827348
ENSMUSG00000020432,0.611284413
ENSMUSG00000020435,0.74537523
ENSMUSG00000020444,-0.733247853
ENSMUSG00000020455,-0.767307415
ENSMUSG00000020464,0.540093513
ENSMUSG00000020473,0.919627539
ENSMUSG00000020476,0.534708393
ENSMUSG00000020483,-0.536311964
ENSMUSG00000020486,1.35510321
ENSMUSG00000020491,-0.630103585
ENSMUSG00000020516,-0.529102045
ENSMUSG00000020520,0.444372178
ENSMUSG00000020541,0.520005267
ENSMUSG00000020570,-0.404309001
ENSMUSG00000020571,-0.544014955
ENSMUSG00000020573,1.668133295
ENSMUSG00000020577,-0.497534485
ENSMUSG00000020589,1.154948488
ENSMUSG00000020592,1.309378073
ENSMUSG00000020593,0.926671085
ENSMUSG00000020600,-1.536537461
ENSMUSG00000020601,0.597056205
ENSMUSG00000020610,-0.471219527
ENSMUSG00000020614,0.894771397
ENSMUSG00000020620,0.478938148
ENSMUSG00000020623,1.170068309
ENSMUSG00000020627,1.29612998
ENSMUSG00000020628,0.465805877
ENSMUSG00000020634,-0.570594025
ENSMUSG00000020638,1.422841152
ENSMUSG00000020641,2.582349084
ENSMUSG00000020646,0.524402317
ENSMUSG00000020653,0.712730893
ENSMUSG00000020668,0.566047372
ENSMUSG00000020669,0.505634349
ENSMUSG00000020674,1.329219017
ENSMUSG00000020689,2.205760351
ENSMUSG00000020695,2.900733365
ENSMUSG00000020696,0.564548296
ENSMUSG00000020703,-0.990374569
ENSMUSG00000020707,0.618148998
ENSMUSG00000020719,-0.457277658
ENSMUSG00000020733,0.499463577
ENSMUSG00000020737,0.56713196
ENSMUSG00000020775,0.534497739
ENSMUSG00000020788,-0.792287463
ENSMUSG00000020792,0.415338523
ENSMUSG00000020806,0.960939573
ENSMUSG00000020821,-0.727796362
ENSMUSG00000020823,-0.546465784
ENSMUSG00000020828,1.105464893
ENSMUSG00000020840,0.739535739
ENSMUSG00000020848,1.065465612
ENSMUSG00000020857,-1.513695865
ENSMUSG00000020869,-0.523605139
ENSMUSG00000020873,-0.611397854
ENSMUSG00000020877,0.757257846
ENSMUSG00000020878,1.038962131
ENSMUSG00000020891,2.202450127
ENSMUSG00000020892,1.570101353
ENSMUSG00000020894,-0.523521087
ENSMUSG00000020898,0.819738816
ENSMUSG00000020899,-0.770576395
ENSMUSG00000020917,-0.782849351
ENSMUSG00000020930,1.119512861
ENSMUSG00000020946,-0.650489038
ENSMUSG00000020949,-0.627652044
ENSMUSG00000020994,-0.552678944
ENSMUSG00000021007,0.853040251
ENSMUSG00000021009,0.438145324
ENSMUSG00000021022,0.566320036
ENSMUSG00000021023,0.771396065
ENSMUSG00000021028,0.628131273
ENSMUSG00000021038,0.552165722
ENSMUSG00000021039,0.741355662
ENSMUSG00000021044,0.692894307
ENSMUSG00000021048,-0.536565154
ENSMUSG00000021054,-0.701300317
ENSMUSG00000021062,1.659370862
ENSMUSG00000021065,0.759159626
ENSMUSG00000021066,1.187885424
ENSMUSG00000021068,0.509985495
ENSMUSG00000021069,1.236973295
ENSMUSG00000021087,0.989106316
ENSMUSG00000021090,2.479584172
ENSMUSG00000021091,1.401409957
ENSMUSG00000021094,0.49741538
ENSMUSG00000021097,1.080272523
ENSMUSG00000021118,1.560399525
ENSMUSG00000021123,2.295081707
ENSMUSG00000021127,0.870860154
ENSMUSG00000021131,-0.629329601
ENSMUSG00000021134,-0.586293966
ENSMUSG00000021136,1.905706997
ENSMUSG00000021140,-0.484853569
ENSMUSG00000021156,-0.429501366
ENSMUSG00000021179,1.071168564
ENSMUSG00000021185,1.272301854
ENSMUSG00000021190,0.768221119
ENSMUSG00000021193,-0.617223905
ENSMUSG00000021198,-0.613795896
ENSMUSG00000021215,0.585109006
ENSMUSG00000021217,-0.775605324
ENSMUSG00000021250,-1.187789038
ENSMUSG00000021263,1.424288086
ENSMUSG00000021268,-0.475945519
ENSMUSG00000021270,0.469748459
ENSMUSG00000021273,0.564801471
ENSMUSG00000021277,-0.580443258
ENSMUSG00000021282,-0.53234812
ENSMUSG00000021286,-0.888674116
ENSMUSG00000021287,-0.674787063
ENSMUSG00000021303,-0.702240658
ENSMUSG00000021306,-0.662688772
ENSMUSG00000021327,-0.475458732
ENSMUSG00000021338,0.547651295
ENSMUSG00000021365,0.957319446
ENSMUSG00000021385,0.606103806
ENSMUSG00000021392,0.577075257
ENSMUSG00000021416,3.109576452
ENSMUSG00000021420,0.517853446
ENSMUSG00000021427,-0.928135251
ENSMUSG00000021484,-0.695018192
ENSMUSG00000021493,1.064295313
ENSMUSG00000021495,-0.702751675
ENSMUSG00000021497,0.736315725
ENSMUSG00000021501,0.72169544
ENSMUSG00000021556,1.032938262
ENSMUSG00000021565,0.593692486
ENSMUSG00000021573,1.812746086
ENSMUSG00000021578,-0.432005226
ENSMUSG00000021585,1.46334516
ENSMUSG00000021587,-0.53292539
ENSMUSG00000021596,1.100968382
ENSMUSG00000021610,-0.465973121
ENSMUSG00000021629,-0.557304448
ENSMUSG00000021636,0.622259188
ENSMUSG00000021662,0.716387638
ENSMUSG00000021668,0.774073111
ENSMUSG00000021678,-0.675056529
ENSMUSG00000021679,1.344455604
ENSMUSG00000021686,0.495117586
ENSMUSG00000021687,-0.455023573
ENSMUSG00000021703,0.626795313
ENSMUSG00000021704,-0.765589253
ENSMUSG00000021710,0.977805268
ENSMUSG00000021715,0.681287439
ENSMUSG00000021719,0.53533495
ENSMUSG00000021731,0.568229732
ENSMUSG00000021733,-0.93698946
ENSMUSG00000021738,-0.489398388
ENSMUSG00000021750,2.494159825
ENSMUSG00000021756,-0.609799901
ENSMUSG00000021767,-0.473760529
ENSMUSG00000021792,0.837972333
ENSMUSG00000021795,1.394813514
ENSMUSG00000021803,-0.809801619
ENSMUSG00000021810,0.626075086
ENSMUSG00000021814,0.565375509
ENSMUSG00000021816,-0.519360505
ENSMUSG00000021819,-0.40839187
ENSMUSG00000021823,1.036431377
ENSMUSG00000021824,-0.42459072
ENSMUSG00000021852,4.62235769
ENSMUSG00000021866,0.454729369
ENSMUSG00000021871,0.613501324
ENSMUSG00000021876,1.12217509
ENSMUSG00000021877,-0.487341749
ENSMUSG00000021880,1.790679282
ENSMUSG00000021884,1.057051274
ENSMUSG00000021890,-0.692713419
ENSMUSG00000021892,0.762770477
ENSMUSG00000021895,1.02415
ENSMUSG00000021900,0.843591203
ENSMUSG00000021903,1.112868052
ENSMUSG00000021905,-0.567919467
ENSMUSG00000021928,1.186087003
ENSMUSG00000021943,2.151396881
ENSMUSG00000021947,1.196049751
ENSMUSG00000021948,0.71379873
ENSMUSG00000021963,-0.559598032
ENSMUSG00000021973,0.579707954
ENSMUSG00000021975,0.603957101
ENSMUSG00000021999,2.124334444
ENSMUSG00000022014,1.588718721
ENSMUSG00000022022,1.10281633
ENSMUSG00000022024,0.68116863
ENSMUSG00000022026,-1.546993196
ENSMUSG00000022040,1.747746563
ENSMUSG00000022044,4.444325124
ENSMUSG00000022076,5.373135141
ENSMUSG00000022091,0.603707663
ENSMUSG00000022096,1.162964945
ENSMUSG00000022098,0.465859913
ENSMUSG00000022099,2.206249662
ENSMUSG00000022111,0.534462238
ENSMUSG00000022119,-0.532056421
ENSMUSG00000022129,0.867270954
ENSMUSG00000022131,-0.531456639
ENSMUSG00000022136,-0.620595163
ENSMUSG00000022146,1.269885073
ENSMUSG00000022148,1.585954073
ENSMUSG00000022151,0.644446206
ENSMUSG00000022174,-0.475343353
ENSMUSG00000022176,1.568363196
ENSMUSG00000022180,-0.646045277
ENSMUSG00000022194,-0.548208862
ENSMUSG00000022208,1.26895093
ENSMUSG00000022211,-0.897198602
