Gene_ID,MS_logFC
ENSMUSG00000021868,-0.479261013
ENSMUSG00000021871,0.463199151
ENSMUSG00000021877,-0.490689501
ENSMUSG00000021879,0.360104105
ENSMUSG00000021884,0.844135987
ENSMUSG00000021906,-0.902002452
ENSMUSG00000021916,-0.400541868
ENSMUSG00000021938,0.513359003
ENSMUSG00000021947,0.697566398
ENSMUSG00000021973,0.57858723
ENSMUSG00000022020,0.554069138
ENSMUSG00000022024,1.06489609
ENSMUSG00000022031,0.155151704
ENSMUSG00000022040,-0.572415351
ENSMUSG00000022052,0.372084159
ENSMUSG00000022110,-0.434221839
ENSMUSG00000022111,0.97434003
ENSMUSG00000022136,-0.485242958
ENSMUSG00000022142,-0.336436684
ENSMUSG00000022186,-0.218540342
ENSMUSG00000022194,-0.726102594
ENSMUSG00000022200,-0.483449682
ENSMUSG00000022201,0.87094883
ENSMUSG00000022205,-0.655283932
ENSMUSG00000022223,-0.914562335
ENSMUSG00000022234,0.353972689
ENSMUSG00000022235,0.725307587
ENSMUSG00000022244,0.717918571
ENSMUSG00000022283,0.570873918
ENSMUSG00000022315,-1.211280171
ENSMUSG00000022353,0.239188976
ENSMUSG00000022370,0.582172181
ENSMUSG00000022407,0.422369445
ENSMUSG00000022421,-0.680994415
ENSMUSG00000022443,0.807041295
ENSMUSG00000022464,1.193764275
ENSMUSG00000022466,0.816173794
ENSMUSG00000022477,-0.568564431
ENSMUSG00000022516,-0.813321084
ENSMUSG00000022540,-0.143201121
ENSMUSG00000022555,1.905194002
ENSMUSG00000022565,0.846181426
ENSMUSG00000022570,0.981225143
ENSMUSG00000022607,0.33702402
ENSMUSG00000022614,0.397683319
ENSMUSG00000022661,0.925781414
ENSMUSG00000022742,-0.2718419
ENSMUSG00000022749,0.393196963
ENSMUSG00000022789,0.279785835
ENSMUSG00000022853,1.262743159
ENSMUSG00000022890,-0.339198555
ENSMUSG00000022898,0.615248841
ENSMUSG00000022946,-0.212667272
ENSMUSG00000022947,1.038735872
ENSMUSG00000022961,0.30954778
ENSMUSG00000022962,0.360887929
ENSMUSG00000022973,0.621558844
ENSMUSG00000022986,1.155088494
ENSMUSG00000023019,0.498262491
ENSMUSG00000023021,3.839433477
ENSMUSG00000023039,1.550522503
ENSMUSG00000023043,1.548591052
ENSMUSG00000023044,1.269699135
ENSMUSG00000023092,0.46767019
ENSMUSG00000023122,-0.811014769
ENSMUSG00000023186,0.667387859
ENSMUSG00000023236,-0.936033425
ENSMUSG00000023456,0.431819315
ENSMUSG00000023473,1.727138995
ENSMUSG00000023830,-0.387130139
ENSMUSG00000023944,0.30988649
ENSMUSG00000023973,-0.717717807
ENSMUSG00000024007,0.221411405
ENSMUSG00000024027,-0.761897386
ENSMUSG00000024036,-1.2708047
ENSMUSG00000024045,0.325354141
ENSMUSG00000024077,0.397077308
ENSMUSG00000024082,-0.592007387
ENSMUSG00000024083,0.482607093
ENSMUSG00000024085,0.40617795
ENSMUSG00000024095,-0.266558832
ENSMUSG00000024097,-0.325087937
ENSMUSG00000024098,-0.768890398
ENSMUSG00000024122,-0.369541427
ENSMUSG00000024142,0.204770707
ENSMUSG00000024150,0.656493189
ENSMUSG00000024213,-0.458025055
ENSMUSG00000024231,0.528155853
ENSMUSG00000024236,0.910027962
ENSMUSG00000024286,-0.46025461
ENSMUSG00000024319,0.325372679
ENSMUSG00000024381,0.666835347
ENSMUSG00000024387,0.317338698
ENSMUSG00000024392,0.490811101
ENSMUSG00000024393,0.275552992
ENSMUSG00000024400,0.765779331
ENSMUSG00000024423,-0.470139949
ENSMUSG00000024429,0.40730338
ENSMUSG00000024480,-0.491709517
ENSMUSG00000024491,0.473904959
ENSMUSG00000024493,0.837567546
ENSMUSG00000024507,0.368405374
ENSMUSG00000024527,-0.401174989
ENSMUSG00000024556,0.578907493
ENSMUSG00000024581,-0.410288244
ENSMUSG00000024588,-0.861158493
ENSMUSG00000024594,-0.475880638
ENSMUSG00000024601,-0.952363234
ENSMUSG00000024614,-0.915154502
ENSMUSG00000024639,-0.276511486
ENSMUSG00000024654,0.97944823
ENSMUSG00000024659,1.549508721
ENSMUSG00000024687,-0.14167299
ENSMUSG00000024712,-0.55341372
ENSMUSG00000024725,0.58507438
ENSMUSG00000024740,0.336118073
ENSMUSG00000024742,-0.239027142
ENSMUSG00000024767,0.458027973
ENSMUSG00000024782,-0.561520477
ENSMUSG00000024812,0.984304536
ENSMUSG00000024855,0.508842058
ENSMUSG00000024899,-1.242253551
ENSMUSG00000024900,0.653275235
ENSMUSG00000024914,-0.608540048
ENSMUSG00000024921,0.332912657
ENSMUSG00000024927,0.727042296
ENSMUSG00000024942,0.40206915
ENSMUSG00000024957,6.769197147
ENSMUSG00000024966,0.591625166
ENSMUSG00000024969,0.216699014
ENSMUSG00000024975,0.845012045
ENSMUSG00000024976,0.584293663
ENSMUSG00000024990,-0.494702485
ENSMUSG00000024997,-0.289965436
ENSMUSG00000025006,0.822883885
ENSMUSG00000025007,-0.192939669
ENSMUSG00000025027,0.648054106
ENSMUSG00000025041,-0.355182359
ENSMUSG00000025068,1.568705764
ENSMUSG00000025130,-0.460009954
ENSMUSG00000025134,-0.452216173
ENSMUSG00000025139,-0.404246708
ENSMUSG00000025142,0.389329931
ENSMUSG00000025151,0.367977391
ENSMUSG00000025153,-0.189176504
ENSMUSG00000025162,0.293462973
ENSMUSG00000025175,0.908715257
ENSMUSG00000025178,0.380571435
ENSMUSG00000025190,-0.294946372
ENSMUSG00000025193,-0.25440736
ENSMUSG00000025228,0.316100774
ENSMUSG00000025232,0.224242365
ENSMUSG00000025239,0.485765649
ENSMUSG00000025240,-0.661674685
ENSMUSG00000025241,0.545633371
ENSMUSG00000025246,-0.375477908
ENSMUSG00000025260,-0.252859747
ENSMUSG00000025261,-0.107236726
ENSMUSG00000025262,-0.214942102
ENSMUSG00000025264,-0.323503784
ENSMUSG00000025277,0.427414404
ENSMUSG00000025278,0.357817588
ENSMUSG00000025290,0.369479051
ENSMUSG00000025326,0.510296031
ENSMUSG00000025351,-0.972666414
ENSMUSG00000025362,0.444199735
ENSMUSG00000025364,0.165248868
ENSMUSG00000025393,-0.177949529
ENSMUSG00000025410,0.281000224
ENSMUSG00000025417,-0.570534194
ENSMUSG00000025428,-0.175231891
ENSMUSG00000025464,1.420702512
ENSMUSG00000025465,-0.314938694
ENSMUSG00000025474,0.084116412
ENSMUSG00000025484,-0.261572254
ENSMUSG00000025504,0.675031763
ENSMUSG00000025510,1.254023607
ENSMUSG00000025533,0.888492194
ENSMUSG00000025555,0.398734757
ENSMUSG00000025579,0.986143609
ENSMUSG00000025613,0.372793785
ENSMUSG00000025745,-0.443101867
ENSMUSG00000025757,0.616705894
ENSMUSG00000025766,-1.044057511
ENSMUSG00000025777,-0.50749556
ENSMUSG00000025781,-0.145150939
ENSMUSG00000025809,0.326480445
ENSMUSG00000025823,-0.413687478
ENSMUSG00000025825,-0.331187192
ENSMUSG00000025855,-0.997931295
ENSMUSG00000025872,-1.019624021
ENSMUSG00000025917,0.216977505
ENSMUSG00000025937,-0.276682083
ENSMUSG00000025962,1.201659332
ENSMUSG00000025980,-0.667042447
ENSMUSG00000026000,0.929480537
ENSMUSG00000026005,-0.484684728
ENSMUSG00000026036,0.479992258
ENSMUSG00000026083,0.136565109
ENSMUSG00000026102,1.062747768
ENSMUSG00000026175,0.877367702
ENSMUSG00000026181,0.87829904
ENSMUSG00000026202,0.22215593
ENSMUSG00000026204,-0.49032873
ENSMUSG00000026208,1.532022835
ENSMUSG00000026209,0.301491886
ENSMUSG00000026229,0.255496478
ENSMUSG00000026245,0.97635244
ENSMUSG00000026275,0.437846951
ENSMUSG00000026289,0.493988732
ENSMUSG00000026307,-0.645868301
ENSMUSG00000026335,-0.675244132
ENSMUSG00000026339,0.408536099
ENSMUSG00000026353,0.38880561
ENSMUSG00000026356,0.575642088
ENSMUSG00000026357,-0.699977144
ENSMUSG00000026385,0.479112061
ENSMUSG00000026417,1.620248533
ENSMUSG00000026421,0.74757283
ENSMUSG00000026456,-0.460376749
ENSMUSG00000026466,0.486553898
ENSMUSG00000026470,0.306222783
ENSMUSG00000026473,-0.792919218
ENSMUSG00000026483,0.381274007
ENSMUSG00000026509,0.318070531
ENSMUSG00000026519,0.632545928
ENSMUSG00000026520,0.434847898
ENSMUSG00000026544,0.399727911
ENSMUSG00000026554,0.867361807
ENSMUSG00000026585,0.32837072
ENSMUSG00000026615,0.33992812
ENSMUSG00000026618,-0.332975106
ENSMUSG00000026626,-0.264707351
ENSMUSG00000026638,1.110957089
ENSMUSG00000026664,0.478703168
ENSMUSG00000026687,-0.395306754
ENSMUSG00000026688,1.347352113
ENSMUSG00000026694,0.337945785
ENSMUSG00000026701,-0.479708887
ENSMUSG00000026727,1.089221634
ENSMUSG00000026728,2.15016612
ENSMUSG00000026750,0.890300642
ENSMUSG00000026764,0.394863014
ENSMUSG00000026796,0.293697326
ENSMUSG00000026817,0.653520435
ENSMUSG00000026820,-0.610581553
ENSMUSG00000026827,-1.09975386
ENSMUSG00000026867,0.355626871
ENSMUSG00000026869,0.573014133
ENSMUSG00000026879,0.833571903
ENSMUSG00000026946,0.617296735
ENSMUSG00000026986,1.788650712
ENSMUSG00000026991,-0.625912124
ENSMUSG00000026999,-0.490677658
ENSMUSG00000027004,-0.96195148
ENSMUSG00000027087,0.695016814
ENSMUSG00000027111,0.982436882
ENSMUSG00000027162,-0.371177611
ENSMUSG00000027163,0.449649796
ENSMUSG00000027167,-1.056220829
ENSMUSG00000027170,0.103627115
ENSMUSG00000027184,0.619065571
ENSMUSG00000027188,1.129882538
ENSMUSG00000027201,-0.403858864
ENSMUSG00000027220,-0.938599326
ENSMUSG00000027227,0.263384112
ENSMUSG00000027247,-0.657471686
ENSMUSG00000027248,-0.6873345
ENSMUSG00000027273,0.450039661
ENSMUSG00000027332,-0.846807753
ENSMUSG00000027349,-0.568847322
ENSMUSG00000027363,0.753904118
ENSMUSG00000027400,-1.469124302
ENSMUSG00000027411,0.594297237
ENSMUSG00000027419,-0.784318572
ENSMUSG00000027428,0.777408582
ENSMUSG00000027430,1.126283141
ENSMUSG00000027455,0.53877475
ENSMUSG00000027506,-0.450738542
ENSMUSG00000027519,-0.370430928
ENSMUSG00000027523,-0.339841825
ENSMUSG00000027533,0.911924674
ENSMUSG00000027597,-0.356849638
ENSMUSG00000027603,1.476981025
ENSMUSG00000027605,0.235884671
ENSMUSG00000027639,0.371915472
ENSMUSG00000027646,0.277057529
ENSMUSG00000027668,0.949719387
ENSMUSG00000027680,0.73327808
ENSMUSG00000027708,-0.422920847
ENSMUSG00000027710,-0.786274576
ENSMUSG00000027722,0.644167343
ENSMUSG00000027739,-0.687222912
ENSMUSG00000027770,0.620678668
ENSMUSG00000027784,-0.602625612
ENSMUSG00000027799,0.297852731
ENSMUSG00000027804,0.46633164
ENSMUSG00000027810,1.088242481
ENSMUSG00000027879,-0.26219278
ENSMUSG00000027940,0.261842365
ENSMUSG00000027951,1.060345819
ENSMUSG00000027984,-0.758882643
ENSMUSG00000028024,0.701767332
ENSMUSG00000028049,0.349073951
ENSMUSG00000028059,0.7500254
ENSMUSG00000028063,0.320127922
ENSMUSG00000028102,0.727514802
ENSMUSG00000028106,0.437517414
ENSMUSG00000028127,0.504802321
ENSMUSG00000028137,-0.320556181
ENSMUSG00000028158,-0.495558004
ENSMUSG00000028163,0.518194452
ENSMUSG00000028165,-0.37509777
ENSMUSG00000028189,0.565016941
ENSMUSG00000028199,0.994382412
ENSMUSG00000028273,0.264901692
ENSMUSG00000028328,1.275150669
ENSMUSG00000028334,-0.348656109
ENSMUSG00000028382,-0.273694563
ENSMUSG00000028385,-0.549523312
ENSMUSG00000028405,0.510440039
ENSMUSG00000028416,-0.217483215
ENSMUSG00000028419,-0.16233848
ENSMUSG00000028430,1.582224397
ENSMUSG00000028447,0.212589025
ENSMUSG00000028465,0.636430108
ENSMUSG00000028467,0.872124771
ENSMUSG00000028555,-0.297945846
ENSMUSG00000028556,0.73680737
ENSMUSG00000028559,0.729130933
ENSMUSG00000028567,0.516144151
ENSMUSG00000028568,0.304335198
ENSMUSG00000028572,0.162422615
ENSMUSG00000028576,0.476658439
ENSMUSG00000028577,-0.381783004
ENSMUSG00000028601,-1.199499373
ENSMUSG00000028639,0.740831673
ENSMUSG00000028646,-0.643484693
ENSMUSG00000028656,0.29449273
ENSMUSG00000028669,-0.577467893
ENSMUSG00000028672,0.276940734
ENSMUSG00000028673,0.949066883
ENSMUSG00000028676,-0.305664014
ENSMUSG00000028691,-0.164602018
ENSMUSG00000028692,0.313846703
ENSMUSG00000028737,-0.762969431
ENSMUSG00000028745,0.179351068
ENSMUSG00000028755,-0.94758901
ENSMUSG00000028790,-0.090834023
ENSMUSG00000028849,0.517868678
ENSMUSG00000028851,0.548043841
ENSMUSG00000028860,1.042786675
ENSMUSG00000028910,-0.598541772
ENSMUSG00000028945,-0.529983736
ENSMUSG00000028955,-0.738000981
ENSMUSG00000028960,0.628266593
ENSMUSG00000028969,0.515254688
ENSMUSG00000028975,1.054227998
ENSMUSG00000028990,-2.355001167
ENSMUSG00000028991,-0.375844563
ENSMUSG00000028999,0.346546326
ENSMUSG00000029014,0.843934377
ENSMUSG00000029056,0.838304629
ENSMUSG00000029059,0.479440892
ENSMUSG00000029064,-0.900016901
ENSMUSG00000029086,0.940740166
ENSMUSG00000029102,-0.438983232
ENSMUSG00000029103,0.478661162
ENSMUSG00000029106,0.39807055
ENSMUSG00000029121,1.519485427
ENSMUSG00000029145,0.985876643
ENSMUSG00000029174,0.200041262
ENSMUSG00000029185,-0.214360976
ENSMUSG00000029209,-0.345460515
ENSMUSG00000029223,1.4765227
ENSMUSG00000029247,0.765549157
ENSMUSG00000029265,-0.654218746
ENSMUSG00000029291,0.49732142
ENSMUSG00000029311,1.073944969
ENSMUSG00000029388,0.653651034
ENSMUSG00000029404,1.132533812
ENSMUSG00000029405,0.896282797
ENSMUSG00000029407,-0.299257083
ENSMUSG00000029430,-0.319731592
ENSMUSG00000029431,-0.539044176
ENSMUSG00000029433,-0.940837018
ENSMUSG00000029434,-0.179299599
ENSMUSG00000029447,0.431194691
ENSMUSG00000029456,0.274587642
ENSMUSG00000029470,0.903563992
ENSMUSG00000029484,0.928058848
ENSMUSG00000029500,0.301446244
