Gene_ID,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ENSMUSG00000067795,0,4.5466666,2,6,4,14
ENSMUSG00000043716,16144.589,12399.698,13523.962,13574.528,17536.115,16470.207
ENSMUSG00000025921,405.6978,532.96277,693.4866,878.8058,762.2322,1262.7539
ENSMUSG00000104165,0,0,0,2,0,2.8874173
ENSMUSG00000100868,0,2,2.9271524,1.4071082,0,6
ENSMUSG00000025920,2020.2397,2392.804,2606.7156,3008.6543,2838.2263,3035.8083
ENSMUSG00000089982,8,5.47404,2.7874613,0,3.3774836,0
ENSMUSG00000025939,2682.116,2429.576,2933.392,2974.5498,3507.4963,3102.406
ENSMUSG00000102457,14.684929,21.933327,21.45557,20.155987,12.798631,11.831447
ENSMUSG00000079658,2405.9102,1935.9856,2157.0525,2000.4587,2440.8306,2415.5786
ENSMUSG00000097744,6.860927,11.344371,10,4.8740387,7.938776,4.6066666
ENSMUSG00000100959,0,0,0,0,0,3.1721854
ENSMUSG00000025940,895.9798,1006.7715,1033.536,1341.1448,1464.9236,1720.3656
ENSMUSG00000025779,500.6145,418.0483,465.45218,888.8905,948.15393,1373.5308
ENSMUSG00000100093,0,0,0,0,0,0
ENSMUSG00000091020,0,0,1,2,0,4
ENSMUSG00000101640,0,0,0,0,0,0
ENSMUSG00000104133,0,0,0,0,0,0
ENSMUSG00000042686,30,54,55.793327,112.99999,63.5,106
ENSMUSG00000100110,0,0,0,0,0,0
ENSMUSG00000025777,3046.3228,3863.4326,4080.6726,3106.3977,3948.547,2966.0583
ENSMUSG00000099899,3.330022,0.8145696,4,2,8,5.0748167
ENSMUSG00000100272,0,0,0,0,0,0
ENSMUSG00000100398,0,0,0,0,0,0
ENSMUSG00000101589,0,1,1,0,0,0
ENSMUSG00000102048,0,0,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0
ENSMUSG00000067780,26,71.94667,49.639072,88.100006,82,78
ENSMUSG00000100053,0,0,2.360927,0.9,0,0
ENSMUSG00000085125,2,0,6,0,0,0
ENSMUSG00000025776,2,1.9999999,4,6,13.999997,10
ENSMUSG00000099895,0,2.0529802,0,0,0,0
ENSMUSG00000100554,0,0,0,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0
ENSMUSG00000099591,0,0,0,0,0,0
