Gene_ID,Ex.Control_1,Ex.Control_2,Ex.Control_3,Ex.KO_1,Ex.KO_2,Ex.KO_3,In.Control_1,In.Control_2,In.Control_3,In.KO_1,In.KO_2,In.KO_3
ENSMUSG00000029012,946.0089,987.88904,883.21405,1056.6008,1396.6914,1339.1654,169,260,301,168,153,119
ENSMUSG00000094910,194.98601,203.23642,232,771.9791,510,714.2073,10,22,10,25,18,18
ENSMUSG00000002147,1368.4406,1830.7976,2332.8528,3998.5498,3477.402,5532.1147,253,296,289,319,305,304
ENSMUSG00000031604,5271.3213,5590.159,5927.597,4495.711,6404.061,4203.467,285,369,336,141,191,86
ENSMUSG00000002688,768.7266,971.2146,853.04926,1684.547,1435.2417,1614.9335,594,1037,1065,808,664,743
ENSMUSG00000030077,121.60265,207.99997,331.56866,197.9649,383.36243,312.19604,191,262,325,176,184,137
ENSMUSG00000026618,2252.7393,2566.7778,2845.7568,3956.0442,3696.0225,3943.251,294,497,559,284,340,298
ENSMUSG00000024283,3527.2258,4821.6113,5526.3457,6693.157,6470.531,7605.004,543,1031,1260,700,615,589
ENSMUSG00000034848,615.8352,978.9482,1070.1663,1615.3894,1476.899,1786.9745,166,284,261,173,222,205
ENSMUSG00000023019,1238.6909,1317.3884,1361.8193,1861.9048,1729.5552,1991.338,83,96,111,75,70,46
ENSMUSG00000049878,1103.8262,1731.2936,2153.8816,1498.895,1855.5743,2561.715,273,608,963,387,292,281
ENSMUSG00000038079,557.0018,559.6469,637.466,820.49854,866.74445,1182.5833,103,196,154,129,99,105
ENSMUSG00000028356,1147.3953,984.31885,1052.8864,1513.5447,1356.4973,2303.907,246,394,513,281,273,265
ENSMUSG00000020528,1090.897,953.7317,1220.7947,1773.4999,1678.4409,1958.8373,234,407,550,275,296,301
ENSMUSG00000036580,1639.2874,1896.478,1852.6506,2320.3518,2280.8313,2964.8684,59,58,64,41,48,30
ENSMUSG00000026664,4457.8755,4524.0103,5218.742,9593.414,8733.1,10970.876,407,501,632,492,480,481
ENSMUSG00000030083,867.52026,834.0481,871.25806,1786.0806,1498.1315,1859.2554,42,63,42,31,52,52
ENSMUSG00000041958,1921.0372,2192.8452,2705.2246,3909.3499,3610.2463,5316.3647,231,244,237,197,220,216
ENSMUSG00000020720,3294.072,3191.3699,3658.6958,5726.335,5360.042,6171.351,457,562,902,435,488,547
ENSMUSG00000027111,2202.463,3622.3237,4538.568,6359.103,6070.2163,7149.024,460,1086,1061,942,727,566
ENSMUSG00000026520,3522.4377,3674.299,4299.01,5167.3164,5335.204,5993.641,80,78,88,80,51,36
ENSMUSG00000028289,334.8734,436.22308,365.37408,446.8599,464.93774,434.2714,132,206,205,103,107,84
ENSMUSG00000003438,895.7531,905.0378,1067.5309,1618.4409,1339.5359,1887.5624,88,71,79,66,62,64
ENSMUSG00000022064,456.32034,484.9894,546.9547,713.43744,892.3252,802.56287,381,527,694,447,400,335
ENSMUSG00000024376,680.9397,789.8596,1337.922,604.4812,866.4074,1079.8759,470,732,1069,264,362,309
ENSMUSG00000041685,1625.5754,2226.1917,2631.1184,3303.6938,3205.456,4208.6973,732,1336,1470,1042,816,793
ENSMUSG00000030760,234.81128,199.38828,251.0172,328.87827,359.32913,453.5575,134,194,234,147,141,133
ENSMUSG00000059409,1000.4534,1176.4653,1240.7098,1805.0693,1570.8386,2035.5674,99,115,144,85,98,79
ENSMUSG00000022673,409.6133,601.70483,749.52844,1027.0667,894.36993,1165.855,16,37,67,24,47,22
ENSMUSG00000000416,2019.6941,3970.0015,3737.499,4805.2676,5228.641,4835.416,572,1346,1430,802,910,604
ENSMUSG00000047786,98,112,118.7947,226,283.73495,347.702,18,20,31,28,23,31
ENSMUSG00000034259,788.4998,796.8126,941.0433,1251.9598,1150.3903,1425.2959,37,87,49,61,33,25
ENSMUSG00000026519,2587.4062,3318.6982,3557.0613,6139.2393,5326.0894,6629.069,638,1040,819,841,737,638
ENSMUSG00000022951,699.3047,792.62646,991.2683,1328.3945,1192.8422,1563.1593,90,193,168,110,98,126
ENSMUSG00000071176,259.08063,346.50778,355.06088,962.83057,782.4575,1136.059,62,129,156,168,150,146
ENSMUSG00000035517,1236.0248,1899.3406,2149.268,2822.3362,2906.3179,4107.7617,354,619,958,535,474,594
ENSMUSG00000018659,1471.0923,1746.5564,2121.1338,3242.841,2967.2234,4619.9106,90,77,162,96,102,109
ENSMUSG00000026965,2707.1519,2982.2625,3442.6616,5560.849,4673.815,6732.5107,292,476,578,380,348,396
ENSMUSG00000027167,945.46027,1173.3771,1256.4648,1329.6328,1227.6812,1469.7498,546,912,1462,427,560,559
ENSMUSG00000058317,490.772,562.4926,605.2089,1075.9409,932.37494,1271.169,669,992,1031,814,765,853
ENSMUSG00000042389,411.7298,480.5985,630.2999,631.6286,724.8825,877.3071,161,271,312,135,182,178
ENSMUSG00000012519,169.74213,256.9436,408.38962,423.29434,607.62695,1166.5459,59,130,245,114,185,198
ENSMUSG00000000440,553.2113,669.0941,722.25745,1095.596,962.96185,1155.4727,64,155,125,87,78,90
ENSMUSG00000061455,997.32666,1401,1347.4133,1783.5098,1716.2648,1879.2014,47,111,171,70,63,74
